"ID","AREA","NAME","TYPE","SUMMARY","ADDRESS","TEL","PAYEX","SERVICETIME","TW97X","TW97Y","TOTALCAR","TOTALMOTOR","TOTALBIKE"
"010056","板橋區","遠東百貨停車場","2","立體式建築附設停車空間","板橋區中山路一段152號","","小型車計時每小時60元;","0~24時","296882","2767068","453","0",""
"030034","中和區","南華停車場","2","平面式臨時路外停車場","中和區中和路281號邊","","小型車計時每小時20元;小型車月租每月3500元;","6~24時","301086","2765825","42","0",""
"010008","板橋區","府後立體停車場","2","立體式多目標附建停車場","板橋區府中路32-1、32-2","2969-7281","小型車計時每小時20元;","0~24時","296277","2767002.5","150","0",""
"020023","三重區","集美國小地下停車場","2","立體式多目標附建停車場","三重區集美街10號","","小型車月租每月3900元;小型車月租每月3000元;小型車月租每月1500元;","0~24時","299256.5","2772076.5","24","0",""
"230007","八里區","十三行博物館第二停車場","2","平面式臨時路外停車場","八里區博物館路200號","","小型車計時每小時20元;小型車計時免費;","0~24時","290903.5","2783084","105","21",""
"030019","中和區","中和國中停車場","2","平面式多目標附建停車場","中和區興南路二段3巷17號","","小型車月租每月1500元;","16~7時","301340","2764339","17","0",""
"110010","汐止區","崇德國民小學停車場","2","立體式多目標附建停車場","汐止區茄苳路158號","","小型車月租每月500元;小型車月租每月1000元;","17~7時","317500","2773636.5","28","0",""
"060040","新店區","崇光女子高中地下停車場","2","立體式建築附設停車空間","新店區三民路19號B2","","小型車月租每月3000元;","0~24時","304461.5","2762748.5","60","0",""
"080007","鶯歌區","陶博館館後停車場","2","平面式多目標附建停車場","鶯歌區文化路200號","","小型車計次每次60元;","0~24時","285544.5","2760249","50","0",""
"120005","瑞芳區","水湳洞停車場","2","平面式臨時路外停車場","瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K)","",";","例假日8~21時","337177","2779563.5","300","0",""
"020051","三重區","台灣省漁會三重示範魚市場停車場","2","平面式多目標附建停車場","三重區力行路一段6號","","小型車計時每小時30元;","0~24時","299273","2773234.5","110","0",""
"010028","板橋區","新北市立大觀國民中學停車場","2","立體式多目標附建停車場","板橋區僑中一街1號地下室","","小型車計時每小時20元;小型車月租每月4000元;","0~24時","295269","2767084","30","0",""
"110008","汐止區","行政中心公有停車場","2","立體式建築附設停車空間","汐止區新台五路一段268號B1、B2","2641-1111",";","0~24時","316498","2773007.5","189","0",""
"020044","三重區","成功室內停車場","2","立體式建築附設停車空間","三重區集美街61-1號","","機車免費免費;小型車月租每月3500元;","0~24時","299291.5","2771845.5","49","0",""
"170010","林口區","麗林國小地下室停車場","2","立體式多目標附建停車場","林口區公園路46號(編號1至15、24至52供社區民眾租用，編號16至23公務用)","","機車免費免費;小型車月租每月1500元;","18:30~07:00","287120","2773423.5","44","0",""
"060014","新店區","柴埕活動中心附設停車場","2","立體式多目標附建停車場","新店區安民街79號B1、B2","2212-0662","機車免費免費;小型車月租每月3000元;","0~24時","302140.5","2762270","38","0",""
"060015","新店區","新北市立文山國民中學停車場","2","立體式多目標附建停車場","新店區文中路38號","2913-4300","小型車月租每月2000元;","18~7時","304434","2761084","40","0",""
"030048","中和區","永鐿中和連城停車場","2","平面式臨時路外停車場","中和區連城路114號旁","","小型車計時每小時50元;小型車月租每月5000元;機車月租每月800元;機車計次每次20元;","0~24時","300078","2765850.5","50","84",""
"090009","三峽區","國立臺北大學三峽校區停車場","2","平面式多目標附建停車場","新北市三峽區大學路151號","2673-1949","大型車計次每次100元;小型車計次每次50元;","23~06時","287673","2759737.5","40","0",""
"110015","汐止區","樟樹國中停車場","2","立體式多目標附建停車場","汐止區樟樹二路135號地下室","","機車計時每小時20元;","週六、日及國定假日8:00至21:00","314528.5","2773199.5","46","0",""
"040021","永和區","欣紘停車場","2","立體式建築附設停車空間","永和區民權路39號B2","2945-5131","小型車月租每月3300元;","0~24時","302493.5","2765589","10","0",""
"040011","永和區","永和區溪州零售市場停車場","2","立體式多目標附建停車場","永和區勵行街44號地下室","2925-6803","小型車月租每月3000元;","0~24時","302133","2767372","5","0",""
"030029","中和區","新北市光復國小地下停車場","2","立體式多目標附建停車場","中和區光環路二段1號","3234-8654#661","小型車月租每月3000元;","平日19:00至隔日7:00；假日24小時","298773.5","2767500","131","0",""
"050017","新莊區","昌隆國小附設停車場","2","立體式建築附設停車空間","新莊區昌隆街63號","2996-2351","小型車月租每月1500元;","19:00至翌日7:00","295916","2771530.5","34","0",""
"020052","三重區","力行商場停車場","2","平面式臨時路外停車場","三重區力行路一段52號旁","8985-8236","小型車計時每小時30元;小型車月租每月3500元;小型車月租每季9000元;","0~24時","299180.5","2773307","80","0",""
"020055","三重區","久鑫停車場（一）","2","平面式臨時路外停車場","三重區進安街與通華街口","0953789222","小型車月租每月2500元;小型車月租每季7000元;","0~24時","299982.5","2775333.5","13","0",""
"020056","三重區","久鑫停車場（二）","2","平面式臨時路外停車場","三重區仁義街與通華街口","0953789222","小型車月租每月2500元;小型車月租每季7000元;","0~24時","299938","2775301.5","13","0",""
"060039","新店區","臺北科學城停車場","2","立體式多目標附建停車場","新店區北新路三段213號B1、B3與B4","2914-7089","小型車計時每小時40元;小型車月租每月4500元;","7:00至23:00","304522.5","2764336.5","366","0",""
"030040","中和區","中和區中正路加油加氣站附設停車場","2","立體式多目標附建停車場","中和區中正路808號","","小型車月租每月2400元;小型車月租每季6900元;小型車月租每半年13200元;小型車月租每年25200元;","0~24時","298965.5","2766192.5","3","0",""
"010075","板橋區","兩家停車場","2","平面式臨時路外停車場","板橋區綠堤街39號旁","0932048173","小型車月租每月6000元;","0~24時","295961","2768748.5","20","0",""
"010072","板橋區","香丘停車場","2","立體式多目標附建停車場","板橋區中山路一段279號","8953-8420","小型車計時每小時30元;小型車月租每月3300元;","0~24時","297449","2767423","79","0",""
"060038","新店區","家樂福新店城室內停車場","2","立體式建築附設停車空間","新店區中興路三段1號B1、B2","8919-3333",";","上午8：50至凌晨2：00","305145.5","2763215.5","540","0",""
"070011","樹林區","臺北縣樹林區文林國民小學停車場","2","立體式多目標附建停車場","樹林區千歲街59號","2681-2625#811","小型車月租每月2000元;","16:30至翌日7:00","292852.5","2765573.5","22","0",""
"050020","新莊區","信華大小型停車場","2","平面式臨時路外停車場","新莊區新樹路647-8號","8688-3763","小型車計時每小時20元;大型車計時每小時30元;","0~24時","293843","2766233","31","0",""
"130022","土城區","承鴻實業停車場","2","平面式臨時路外停車場","土城區青雲路","2261-2838","小型車月租每月2400元;","0~24時","296279.5","2763539","90","0",""
"150002","五股區","工商展覽中心地下停車場","2","立體式多目標附建停車場","五股工業區五權路1號","2299-6688","小型車計時每小時30元;小型車月租每月4000元;","8:00至22:30","295156","2773045","424","0",""
"030001","中和區","新北市中和區民德立體停車場","2","立體式都市計畫停車場","中和區民德路188號","8951-6815","小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;","0~24時","297240.5","2765765.5","484","75",""
"170022","林口區","家樂福林口店停車場","2","立體式建築附設停車空間","林口區文化二路一段559號地下2樓","2602-5858","小型車計時每小時30元;","9時至23時","287621","2774683.5","137","0",""
